from,to,distance
忠孝復興,大安,0.9
台北101/世貿,信義安和,1.09
象山,台北101/世貿,0.86
木柵,動物園,0.81
萬芳社區,木柵,0.59
萬芳醫院,萬芳社區,1.2
辛亥,萬芳醫院,0.75
麟光,辛亥,1.55
六張犁,麟光,0.8
科技大樓,六張犁,1.13
大安,科技大樓,0.76
忠孝復興,大安,0.9
南京復興,忠孝復興,1.15
台北小巨蛋,南京復興,1.02
松江南京,南京復興,1.08
中山國中,南京復興,1.05
松山機場,中山國中,1.48
大直,松山機場,2.58
劍南路,大直,1.33
西湖,劍南路,1.29
港墘,西湖,0.83
文德,港墘,1.84
內湖,文德,1.13
大湖公園,內湖,0.87
葫洲,大湖公園,1.63
東湖,葫洲,0.89
南港軟體園區,東湖,1.01
南港展覽館,南港軟體園區,0.6
南港,南港展覽館,1.13
昆陽,南港,1.19
後山埤,昆陽,1.31
永春,後山埤,0.82
市政府,永春,1.14
國父紀念館,市政府,0.85
忠孝敦化,國父紀念館,0.72
忠孝復興,忠孝敦化,0.67
忠孝新生,忠孝復興,1.13
松江南京,忠孝新生,1.15
東門,忠孝新生,1.18
善導寺,忠孝新生,0.95
台北車站,善導寺,0.68
西門,台北車站,1.44
小南門,西門,0.76
北門,西門,0.84
龍山寺,西門,1.27
江子翠,龍山寺,3.08
新埔,江子翠,0.87
新埔民生,新埔,0
BL板橋,新埔,1.28
Y板橋,BL板橋,0
府中,BL板橋,0.66
亞東醫院,府中,1.32
海山,亞東醫院,0.91
土城,海山,1.47
永寧,土城,1.13
頂埔,永寧,1.8
南京三民,松山,1.34
台北小巨蛋,南京三民,1.06
南京復興,台北小巨蛋,1.02
行天宮,松江南京,0.83
忠孝新生,松江南京,1.15
中山,松江南京,1.32
北門,中山,1.21
西門,北門,0.84
中正紀念堂,小南門,0.83
古亭,中正紀念堂,1.17
頂溪,古亭,2.16
台電大樓,古亭,0.64
公館,台電大樓,0.9
萬隆,公館,1.56
景美,萬隆,1.07
大坪林,景美,1.15
十四張,大坪林,1.56
七張,大坪林,0.85
小碧潭,七張,2.5
新店區公所,七張,0.9
新店,新店區公所,1.12
景安,南勢角,0.7
中和,景安,1.3
景平,景安,1.16
永安市場,景安,1.15
頂溪,永安市場,1.3
古亭,頂溪,2.16
東門,古亭,1.25
忠孝新生,東門,1.18
松江南京,忠孝新生,1.15
行天宮,松江南京,0.83
中山國小,行天宮,0.93
民權西路,中山國小,0.66
大橋頭站,民權西路,0.69
三重國小,大橋頭站,1.88
台北橋,大橋頭站,1.34
三和國中,三重國小,1.2
徐匯中學,三和國中,1.01
三民高中,徐匯中學,1.1
蘆洲,三民高中,0.95
菜寮,台北橋,1.01
三重,菜寮,0.9
先嗇宮,三重,1.68
頭前庄,先嗇宮,1.29
新莊,頭前庄,1.01
幸福,頭前庄,0.63
新埔民生,頭前庄,1.8
輔大,新莊,1.83
丹鳳,輔大,1.25
迴龍,丹鳳,1.3
幸福,新北產業園區,1.56
Y板橋,新埔民生,1.43
板新,Y板橋,0.96
中原,板新,1.4
橋和,中原,0.74
中和,橋和,0.8
秀朗橋,景平,0.85
十四張,秀朗橋,1.12
